date,close,sma50,sma150,sma200,sma200_slope,low_52w,high_52w,return_52w
2020-12-17,352.0,,,,,,,
2020-12-18,352.0,,,,,,,
2020-12-21,350.0,,,,,,,
2020-12-22,347.0,,,,,,,
2020-12-23,348.0,,,,,,,
2020-12-24,350.0,,,,,,,
2020-12-25,352.0,,,,,,,
2020-12-28,347.0,,,,,,,
2020-12-29,352.0,,,,,,,
2020-12-30,350.0,,,,,,,
2021-01-04,351.0,,,,,,,
2021-01-05,354.0,,,,,,,
2021-01-06,350.0,,,,,,,
2021-01-07,351.0,,,,,,,
2021-01-08,352.0,,,,,,,
2021-01-12,358.0,,,,,,,
2021-01-13,352.0,,,,,,,
2021-01-14,351.0,,,,,,,
2021-01-15,350.0,,,,,,,
2021-01-18,348.0,,,,,,,
2021-01-19,348.0,,,,,,,
2021-01-20,349.0,,,,,,,
2021-01-21,347.0,,,,,,,
2021-01-22,348.0,,,,,,,
2021-01-25,351.0,,,,,,,
2021-01-26,352.0,,,,,,,
2021-01-27,352.0,,,,,,,
2021-01-28,349.0,,,,,,,
2021-01-29,349.0,,,,,,,
2021-02-01,349.0,,,,,,,
2021-02-02,353.0,,,,,,,
2021-02-03,353.0,,,,,,,
2021-02-04,355.0,,,,,,,
2021-02-05,354.0,,,,,,,
2021-02-08,358.0,,,,,,,
2021-02-09,359.0,,,,,,,
2021-02-10,359.0,,,,,,,
2021-02-12,359.0,,,,,,,
2021-02-15,361.0,,,,,,,
2021-02-16,356.0,,,,,,,
2021-02-17,357.0,,,,,,,
2021-02-18,357.0,,,,,,,
2021-02-19,354.0,,,,,,,
2021-02-22,354.0,,,,,,,
2021-02-24,354.0,,,,,,,
2021-02-25,357.0,,,,,,,
2021-02-26,353.0,,,,,,,
2021-03-01,354.0,,,,,,,
2021-03-02,355.0,,,,,,,
2021-03-03,354.0,352.54,,,,,,
2021-03-04,354.0,352.58,,,,,,
2021-03-05,356.0,352.66,,,,,,
2021-03-08,355.0,352.76,,,,,,
2021-03-09,355.0,352.92,,,,,,
2021-03-10,360.0,353.16,,,,,,
2021-03-11,364.0,353.44,,,,,,
2021-03-12,363.0,353.66,,,,,,
2021-03-15,361.0,353.94,,,,,,
2021-03-16,364.0,354.18,,,,,,
2021-03-17,364.0,354.46,,,,,,
2021-03-18,366.0,354.76,,,,,,
2021-03-19,363.0,354.94,,,,,,
2021-03-22,363.0,355.2,,,,,,
2021-03-23,363.0,355.44,,,,,,
2021-03-24,360.0,355.6,,,,,,
2021-03-25,361.0,355.66,,,,,,
2021-03-26,365.0,355.92,,,,,,
2021-03-29,368.0,356.26,,,,,,
2021-03-30,354.0,356.34,,,,,,
2021-03-31,349.0,356.36,,,,,,
2021-04-01,346.0,356.32,,,,,,
2021-04-02,349.0,356.32,,,,,,
2021-04-05,348.0,356.34,,,,,,
